District Name,website,details,all_children,location,dates_closed – start_date,dates_closed – end_date,dates_closed – indefinitely,breakfast,lunch,dinner,meal_delivery – curbside meal pickup,meal_delivery – walk-in meal pickup,meal_delivery – pending or unspecified,meal_delivery – meal delivery,start_time_1,end_time_1,start_time_2,end_time_2,start_time_3,end_time_3,address,latitude,longitude,gmaps_name,gmaps_id
Brady ISD,https://www.bradyisd.org,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Brady Independent School District, TX, USA",31.1399501,-99.5006143,Brady Independent School District,6e429a5cb6b794f85718bc08c658020ad3f34202
Brazos ISD,,,False,High School cafeteria pakring lot,2020-03-16,2020-04-03,False,False,False,False,True,False,False,False,11:30 AM,1:00 PM,,,,,"Brazos Independent School District, TX, USA",29.5839209,-96.0044121,Brazos Independent School District,205a222b2d1ea397419f31491da61ad39d533c20
Brazosport ISD,https://www.brazosportisd.net/news/what_s_new/b_i_s_d_provides_free_meals_for_anyone_18___under,,False,"TW Ogg Elementary, Velasco Elementary, Ney Elementary",2020-03-16,2020-04-10,False,True,True,False,True,False,False,False,,,,,,,"Brazosport Independent School District, TX, USA",28.962247,-95.37301760000001,Brazosport Independent School District,af3cb6da5d56c1db0cd18d493defc8526af5a70c
Bremond IS,https://www.bremondisd.net/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Bremond, TX 76629, USA",31.16518169999999,-96.6769217,Bremond,bec3ac11b19901967e1ae79cf5aa1826f2895e6a
Brenham ISD,,,False,Where:,2020-03-16,2020-04-03,False,True,True,False,True,False,False,False,,,,,,,"Brenham Independent School District, TX, USA",30.2352956,-96.365157,Brenham Independent School District,1f70f4c667983a68c3f4a913801a0a4c3378d5c0
Broaddus ISD,https://www.broaddusisd.com/article/209057?org=district,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Broaddus Independent School District, TX, USA",31.2402944,-94.19234000000002,Broaddus Independent School District,518c8c521ce705f2f75aaa4d3a8f6cba8b751520
Brookesmith ISD,https://www.brookesmithisd.net,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"13400 Farm to Market Road 586 E, Brookesmith, TX 76827, United States",31.5476073,-99.1197258,Brookesmith Isd,bdcf2599278ce32e472f4e94b943db01fcb36ad0
Brooks County ISD,https://irp-cdn.multiscreensite.com/8be43fb4/files/uploaded/Brooks%20County%20ISD%20Offers%20FREE%20Curbside%20Meals%20to%20Children%2018%20and%20younger%20message.pdf,Details: To ensure we have accurate numbers of meals needed,False,Falfurrias Junior High Campus,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,9:30 AM,1:00 PM,8:00 AM,8:00 PM,,,"Brooks County Independent School District, TX, USA",27.0273057,-98.2212979,Brooks County Independent School District,040d0ddcff3be3a2bccb5fe6e023f38b023cfef3
Brownsboro ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Brownsboro Independent School District, TX, USA",32.2556841,-95.5827334,Brownsboro Independent School District,36382130353201e7074136515213589ed6b51afd
Brownsville ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,Brownsville Independent School District,25.9203424,-97.4597725,Brownsville Independent School District,214150efcd3126e38f780541e2fffdee424f2bec
