District Name,website,details,all_children,location,dates_closed – start_date,dates_closed – end_date,dates_closed – indefinitely,breakfast,lunch,dinner,meal_delivery – curbside meal pickup,meal_delivery – walk-in meal pickup,meal_delivery – pending or unspecified,meal_delivery – meal delivery,start_time_1,end_time_1,start_time_2,end_time_2,start_time_3,end_time_3
McCamey ISD,http://www.mcisd.esc18.net,Details: Meals will be available for children ages,True,McCamey Primary Driveway,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,9:00 AM,10:00 AM,11:00 AM,12:30 PM,,
McDade ISD,https://www.smithvilleisd.org/apps/pages/index.jsp?uREC_ID=186536&type=d&pREC_ID=1844358,,False,,2020-03-16,2020-04-05,False,False,False,False,False,False,False,False,,,,,,
McGregor ISD,,,False,,2020-03-16,2020-03-27,False,False,False,False,False,False,False,False,,,,,,
McKinney ISD,https://www.mckinneyisd.net/health-services-wellness/coronavirus-covid-19/,Details: Meals will be handed out in the front driveways of these schools. Free for any MISD student.,False,"Webb, Finch, McNeil, Slaughter, Vega Elementary and Malvern Elementary",2020-03-16,2020-04-03,False,True,True,False,True,False,False,False,7:30 AM,8:30 AM,11:00 AM,12:30 PM,,
McLeod ISD,http://www.mcleodisd.net/sites/mcleodisd.net/files/schoolclosuremarch1620.pdf,Details:. If you wish to pick up a meal,False,Not Specified,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,7:30 AM,9:30 AM,11:00 AM,1:00 PM,,
Meadowland Charter Districts,https://meadowlanddistrict.org/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Medina ISD,https://www.medinaisd.org/29830_1,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Medina Valley ISD,https://www.mvisd.com/site/default.aspx?PageType=3&DomainID=2888&ModuleInstanceID=9305&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=19542&PageID=5793,Details:.,False,MVHS,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,7:30 AM,8:30 AM,11:00 AM,12:30 PM,,
Melissa ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Menard ISD,http://www.menardisd.net,Details:. Free meal pick up for MISD students every weekday. Call,False,Elementary and Junior High,2020-03-16,2020-03-20,False,False,True,False,False,True,False,False,,,,,,
Merkel ISD,https://www.merkelisd.net,Details:. You will drive through the drop off lanes,False,Elementary Building,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,7:45 AM,8:30 AM,11:30 AM,12:30 PM,,
Mesquite ISD,https://www.mesquiteisd.org/community/coronavirus-information-and-updates?fbclid=IwAR3kabQDu3cszVCs_srBkSx32vkvZra3g6ZgdyxobMi0wcTvPaMLczCBSGo,Details: Mesquite ISD will provide FREE curbside meals to all Mesquite ISD students while schools are closed. Lunch,False,All Mesquite ISD High Schools,2020-03-16,2020-04-03,False,True,True,False,True,False,False,False,10:00 AM,12:00 PM,,,,
Mexia ISD,https://www.mexiaisd.net/article/210925?org=mexia-independent-school-district,Details:. Meals will be available for all students,False,R.Q. Sims Intermediate Canopy Line,2020-03-16,2020-03-27,False,False,True,False,True,False,False,False,11:00 AM,1:00 PM,,,,
Midland ISD,http://www.midlandisd.net,Details: Any child,False,Elementary Schools,2020-03-16,2020-03-27,False,True,True,False,True,False,False,False,7:30 AM,8:30 AM,11:30 AM,12:30 PM,,
Midway ISD,https://www.midwayisd.org/coronavirus,Details: USDA requires children to be present when picking up the food to prove the number of children you have,True,"Castleman Creek Elementary, Hewitt Elementary, Speegleville Elementary",2020-03-16,2020-03-27,False,True,True,False,True,False,False,False,8:00 AM,9:00 AM,11:00 AM,12:00 PM,,
Milano ISD,http://www.mumford.k12.tx.us/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Miles ISD,http://www.milesisd.net,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Miller Grove ISD,https://www.mgisd.net/2020/03/press-release-mgisd-will-be-providing-meals-during-extended-break-for-mgisd-students/,Details: MGISD wants to do what we can to make sure that our students are getting breakfast and lunch during the week. We are offering this service to ALL students in the Miller Grove District.,False,Elementary Parking lot by the Cafeteria OR Delivered by Bus,2020-03-16,2020-03-20,False,False,False,False,False,True,False,False,9:30 AM,11:00 AM,,,,
Mineola ISD,http://www.mineolaisd.net/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Montgomery ISD,,,False,,2020-03-12,2020-03-13,False,False,False,False,False,False,False,False,,,,,,
Moody ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Mount Enterprise ISD,http://www.meisd.org/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Mumford ISD,http://www.mumford.k12.tx.us/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Nacogdoches ISD,http://www.nacisd.org/news/what_s_new/n_i_s_d_offering_students_free_lunches,Details: Students age,False,Brooks,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,10:30 AM,12:00 PM,,,,
Natalia ISD,https://www.nataliaisd.net/,Details: Breakfast and Lunch kits will be provided to vehicles at the distribution sites. Kits will be one per Natalia ISD student. Each car will need to provide name and grade of each student.,False,"Jr High, Fire Department, Natalia ISD Transportation, Community Center Great Oaks, Mail Delivery turnaround at Forest Woods",2020-03-17,2020-03-20,False,True,True,False,True,False,False,False,10:00 AM,1:00 PM,,,,
Needville ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,True,False,,,,,,
New Caney ISD,https://www.newcaneyisd.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=36&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=20120&PageID=1,Details:  No charge for children,False,New Caney Elementary School,2020-03-16,2020-04-17,False,True,True,False,True,False,False,False,8:30 AM,11:30 AM,,,,
New Castle ISD,https://www.newcastleisd.net/,,False,,2020-03-16,2020-03-16,False,False,False,False,False,False,False,False,,,,,,
New Diana,http://www.ndisd.org/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
New Summerfield ISD,https://www.newsummerfieldisd.org/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
New Waverly ISD,https://www.new-waverly.k12.tx.us/,,False,New Waverly Elementary,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,7:30 AM,8:30 AM,11:00 AM,1:00 PM,,
North East ISD,,,False,,2020-03-09,2020-03-23,False,False,False,False,False,False,False,False,,,,,,
North Hopkins ISD,https://www.northhopkins.net/18323?articleID=50305,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Northside ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Nueces Canyon ISD,https://www.nccisd.net,Details: Please call,False,NC Elementary,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,8:00 AM,9:00 AM,11:00 AM,12:30 PM,,
Northwest ISD,https://www.nisdtx.org/cms/One.aspx?portalId=232201&pageId=23602050,Details: During the extended break,False,"Curits Elementary, Jusitn Elementary, Love Elementary, Love Elementary, Sendera Ranch Elementary, Chisholm Trail Middle School, TIdwell Middle School",2020-03-16,2020-04-03,False,True,True,False,True,False,False,False,10:00 AM,1:00 PM,,,,
Oakwood ISD,https://www.oakwoodisd.net/article/208879?org=oakwood,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
